paperID,paper title,publish years,authors
655994999,a dependency parser for tweets,2014-10-01,lingpeng kong;nathan schneider;swabha swayamdipta;archna bhatia;chris dyer;noah a smith
658020064,from word embeddings to document distances,2015-01-01,matt j kusner;yu sun;nicholas i kolkin;kilian q weinberger
744717813,a pac bayes sample compression approach to kernel methods,2011-01-01,pascal germain;alexandre lacoste;mario marchand;sara shanian;fran ois laviolette
753012316,torch7 a matlab like environment for machine learning,2011-01-01,ronan collobert;koray kavukcuoglu;clement farabet
753617165,relational linear programming,2017-03-01,kristian kersting;martin mladenov;pavel tokmakov
759139936,convolutional color constancy,2015-12-01,jonathan t barron
769612788,distributional smoothing with virtual adversarial training,2016-01-01,takeru miyato;shinichi maeda;masanori koyama;ken nakae;shin ishii
785130179,robust winners and winner determination policies under candidate uncertainty,2014-07-27,craig boutilier;jerome lang;joel oren;hector palacios
786900578,i didn t sign up for this informed consent in social network research,2015-04-21,luke hutton;tristan henderson
791281155,fast provable algorithms for isotonic regression in all l p norms,2015-12-07,rasmus kyng;anup rao;sushant sachdeva
797227816,predicting the demographics of twitter users from website traffic data,2015-01-25,aron culotta;nirmal kumar ravi;jennifer cutler
805710393,unsupervised semantic parsing of video collections,2015-12-01,ozan sener;amir roshan zamir;silvio savarese;ashutosh saxena
819977924,deep filter banks for texture recognition description and segmentation,2016-05-01,mircea cimpoi;subhransu maji;iasonas kokkinos;andrea vedaldi
830076066,semi supervised learning with ladder networks,2015-12-07,antti rasmus;harri valpola;mikko honkala;mathias berglund;tapani raiko
834081922,embed to control a locally linear latent dynamics model for control from raw images,2015-12-07,manuel watter;jost tobias springenberg;joschka boedecker;martin a riedmiller
847916222,solving motion planning problems,2014-01-01,andre grahl pereira;marcus ritt;luciana s buriol
858396460,fast convergence of regularized learning in games,2015-12-07,vasilis syrgkanis;alekh agarwal;haipeng luo;robert e schapire
880392029,rich component analysis,2016-06-19,rong ge;james zou
889023230,building end to end dialogue systems using generative hierarchical neural network models,2016-02-12,iulian vlad serban;alessandro sordoni;yoshua bengio;aaron c courville;joelle pineau
901252737,inducing semantic relations from conceptual spaces,2015-11-01,joaquin derrac;steven schockaert
907995911,teaching icub to recognize objects using deep convolutional neural networks,2015-01-01,giulia pasquale;carlo ciliberto;francesca odone;lorenzo rosasco;lorenzo natale
918148966,regularization path of cross validation error lower bounds,2015-12-07,atsushi shibagaki;yoshiki suzuki;masayuki karasuyama;ichiro takeuchi
926830766,a neural probabilistic model for context based citation recommendation,2015-01-25,wenyi huang;zhaohui wu;chen liang;prasenjit mitra;c lee giles
